id,d0,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,d13,d14,d15,distance_calculations,is_core,cluster_id
59,5,10,7,8,6,7,7,8,5,7,6,5,4,8,3,7,16131,1,1
60,3,5,5,4,2,8,7,3,8,11,5,7,1,9,5,8,12796,1,1
61,8,13,7,8,3,7,8,3,9,13,5,6,2,9,5,5,12550,0,1
62,4,9,5,7,5,8,9,8,4,7,8,7,4,7,4,9,16231,0,1
63,2,6,3,4,3,8,7,5,9,7,7,7,1,8,7,8,14676,0,1
64,3,9,4,7,3,6,7,10,6,7,6,7,2,8,9,10,14988,0,1
65,3,2,4,3,2,6,10,4,5,10,9,5,2,9,3,6,10258,1,1
66,6,9,10,7,11,10,5,3,2,9,4,8,11,6,4,7,16028,0,1
67,2,6,4,4,1,8,15,1,5,6,11,8,0,8,0,8,15226,1,7
68,7,11,5,6,3,6,7,5,4,7,4,7,5,8,5,7,17592,1,1
69,2,4,3,3,2,5,7,4,6,6,6,11,3,8,4,10,11393,0,1
70,1,4,3,3,1,7,7,2,9,11,6,8,1,8,5,8,10985,1,1
71,3,4,4,3,1,5,13,3,6,12,9,4,1,11,1,5,14189,0,1
72,4,10,7,8,6,7,10,2,3,6,9,8,8,11,1,8,14270,1,1
73,3,5,5,3,2,6,2,2,2,5,2,8,2,6,3,6,951,0,4
74,2,2,3,3,2,8,8,6,1,5,6,9,2,9,5,10,10380,0,1
75,9,10,7,14,6,8,7,4,2,12,6,8,3,9,13,6,14857,0,1
76,4,5,6,7,5,9,10,3,2,8,7,7,3,10,8,6,17813,1,1
77,5,9,8,6,8,6,6,3,4,7,5,8,7,10,7,6,16541,0,1
78,1,7,0,4,0,7,7,4,4,7,6,8,0,8,0,8,3524,1,8
79,2,4,4,3,3,7,8,4,4,9,5,8,2,6,3,10,9623,0,1
80,5,10,7,7,5,7,9,4,6,5,8,10,6,10,1,7,17075,0,1
81,4,7,4,5,3,7,6,12,4,7,12,8,3,9,0,8,13773,0,18
82,7,10,5,5,2,6,8,6,8,11,7,11,2,8,5,9,13909,0,1
83,5,9,6,7,4,8,7,8,5,7,6,8,3,8,3,8,13277,1,1
84,7,13,5,7,3,6,8,6,8,10,6,10,1,8,8,8,13434,0,1
85,5,10,7,7,5,10,6,4,7,11,3,6,4,6,4,8,15681,1,1
86,5,7,6,5,3,4,8,5,7,9,8,9,3,9,2,5,14132,1,1
87,3,4,5,3,3,9,7,3,5,11,3,6,2,7,3,9,9128,0,1
88,2,4,3,3,2,7,7,5,7,7,6,9,2,8,5,10,10104,1,1
89,6,10,6,8,4,6,7,6,7,10,8,11,2,9,5,9,9941,1,1
90,5,9,7,6,6,10,6,2,6,11,3,8,3,8,4,12,13043,1,1
91,4,10,7,7,2,8,7,3,0,7,0,8,3,7,2,8,14764,0,4
92,1,1,3,2,1,6,10,1,6,8,11,8,1,11,2,8,14579,0,1
93,2,4,4,6,4,8,11,3,3,5,8,9,2,11,5,6,18874,0,1
94,5,10,6,8,5,8,6,9,4,7,5,8,3,8,3,8,14554,1,1
95,7,10,7,7,5,7,6,7,8,11,6,11,2,11,5,9,10172,0,1
96,5,9,7,7,5,8,3,1,2,6,2,7,3,5,4,7,11318,1,4
97,3,4,4,3,1,5,9,5,7,12,9,10,1,10,3,7,15396,0,1
98,4,5,6,7,6,7,8,4,1,8,6,6,4,10,8,5,18012,0,1
99,4,11,6,8,8,7,7,3,4,7,6,8,7,10,8,6,14728,1,1
100,4,7,6,5,4,8,6,5,5,8,7,7,3,7,4,6,12866,1,1
101,4,7,5,5,3,8,7,12,1,6,9,8,8,6,0,8,14160,1,9
102,3,9,5,7,3,7,11,2,3,6,11,9,2,10,1,8,14369,1,1
103,2,3,4,2,2,8,8,3,5,9,4,7,2,6,3,10,6656,0,1
104,3,8,5,6,3,7,12,4,6,7,11,8,2,12,1,8,13165,1,1
105,5,8,7,9,7,8,9,4,5,7,7,8,5,7,10,10,12866,0,1
106,3,5,5,3,2,8,7,3,8,11,5,7,1,9,4,8,12867,0,1
107,6,11,8,9,9,9,7,5,2,6,6,10,8,8,5,10,11759,0,1
108,2,3,3,2,2,9,6,4,6,10,4,6,2,8,2,9,5794,1,1
109,2,0,2,1,1,8,6,6,5,6,5,9,2,8,5,10,6855,1,1
110,5,8,7,10,7,10,5,4,4,8,3,6,3,5,8,8,19164,0,1
111,6,11,6,8,4,5,7,10,10,7,6,6,3,8,4,8,15041,0,1
112,1,3,3,2,1,6,3,2,2,5,2,8,1,6,1,7,585,0,4
113,1,0,1,0,0,7,13,1,4,7,10,8,0,8,0,8,15532,0,7
114,2,3,3,1,1,7,7,6,5,7,6,9,2,9,4,10,10052,0,1
115,1,3,2,1,0,6,4,1,7,8,2,10,0,7,2,9,3635,0,3
116,6,9,8,7,8,8,4,7,3,7,6,7,8,7,6,3,18914,0,1
117,0,1,1,2,1,7,7,1,6,7,6,8,0,8,2,8,3189,0,17
118,6,8,9,7,10,6,8,5,3,6,5,8,13,9,5,8,13882,1,1
119,4,9,4,4,2,11,4,4,5,12,3,8,2,7,6,12,17714,0,1
120,2,3,3,4,2,8,7,5,8,4,6,8,0,8,8,8,11847,0,1
121,9,14,8,8,5,7,4,4,8,9,5,9,3,8,9,9,11930,0,1
122,3,6,5,4,1,8,8,4,2,6,14,8,3,10,0,8,14726,1,1
123,5,10,5,8,6,6,8,9,5,6,5,7,2,8,5,11,15734,1,1
124,7,9,5,13,5,7,8,5,3,11,7,7,3,9,11,6,16032,0,1
125,4,9,5,7,5,5,8,6,4,8,7,9,3,8,7,10,16539,0,1
126,8,9,8,6,6,2,12,2,2,10,10,8,7,11,1,7,10985,1,1
127,3,10,5,7,2,7,7,0,9,14,6,8,0,8,1,8,12347,1,6
128,3,7,3,5,2,1,12,4,5,12,11,7,0,8,1,6,14739,1,10
129,5,8,6,10,8,7,9,5,5,7,6,7,4,9,9,7,15223,1,1
130,4,9,5,7,2,10,6,2,8,14,3,8,0,7,0,8,16779,1,6
131,5,9,5,7,2,3,12,4,4,10,12,7,3,10,1,8,11735,1,1
132,6,9,8,6,9,7,8,6,5,7,5,8,8,9,8,6,13387,1,1
133,9,13,10,8,6,11,11,7,3,4,7,9,9,13,3,6,9461,0,1
134,4,8,4,6,4,7,7,7,4,10,6,8,3,8,3,6,14196,0,1
135,1,3,3,1,1,8,8,2,5,14,5,8,1,7,0,8,13518,0,6
136,3,8,4,6,2,3,6,6,11,7,7,14,0,8,7,7,11947,1,11
137,6,9,8,5,4,9,3,3,2,9,3,9,8,2,1,9,19346,0,1
138,9,13,10,7,6,4,9,4,6,10,10,11,5,8,4,6,8948,0,1
139,5,9,7,6,6,5,10,5,5,10,8,3,1,10,3,7,17438,0,1
140,5,10,7,8,4,10,3,2,3,8,1,7,2,7,3,8,16222,0,4
141,2,5,3,3,2,6,7,5,5,9,7,10,2,9,4,9,8999,1,1
142,5,9,5,4,3,10,7,4,5,7,9,5,4,11,2,7,19080,0,1
143,2,2,3,3,2,8,7,3,8,6,6,7,2,8,5,7,5529,1,1
144,1,1,2,1,0,7,4,2,0,7,2,8,2,7,1,8,410,1,12
145,6,10,8,8,5,8,6,3,9,12,4,9,3,6,8,9,12606,0,1
146,4,9,5,6,5,7,6,7,6,6,8,10,2,11,9,7,16707,0,1
147,8,9,11,7,8,10,6,2,5,9,3,6,10,8,3,9,14560,0,1
148,4,10,4,8,4,7,8,3,12,9,6,8,0,8,7,7,14001,0,19
149,4,8,5,6,3,7,7,12,1,7,9,8,8,6,0,8,13778,1,9
150,12,13,11,7,5,8,11,3,3,5,10,7,8,12,1,6,10452,0,1
151,7,11,7,8,5,5,10,0,8,11,9,6,1,9,3,4,15260,0,1
152,2,7,3,5,2,3,7,6,10,7,6,14,0,8,7,8,12873,1,11
153,1,3,0,4,0,7,7,4,4,7,6,8,0,8,0,8,4856,0,8
154,5,9,5,4,3,5,9,3,6,9,8,9,5,7,3,7,17861,0,1
155,4,9,5,7,3,6,8,7,7,7,10,9,3,9,1,8,16540,1,1
156,4,7,4,4,1,7,7,5,4,7,6,8,3,8,4,8,7305,0,1
157,3,3,4,2,1,4,12,3,2,10,11,7,2,11,1,8,12946,1,1
158,5,9,6,4,4,7,9,2,3,7,8,6,8,11,2,7,18173,0,1
159,3,4,5,3,3,10,6,3,7,10,3,6,2,8,3,9,10288,1,1
160,4,2,5,4,4,7,8,4,6,7,5,7,3,7,4,8,9842,0,1
161,3,5,5,4,2,8,7,3,7,10,6,7,1,9,5,8,13085,1,1
162,7,10,6,5,3,7,8,2,7,11,6,6,2,9,5,6,16740,1,1
163,5,7,6,6,6,8,6,5,4,7,5,8,7,9,6,3,17132,0,1
164,3,5,5,8,3,11,5,3,5,10,2,7,2,7,5,11,18461,0,1
165,3,5,4,7,2,7,7,4,14,10,6,8,0,8,8,8,13207,0,19
166,1,10,0,7,0,7,7,4,4,7,6,8,0,8,0,8,6654,1,8
167,8,12,6,9,5,7,11,3,3,13,5,4,3,9,9,9,12821,0,1
168,2,3,3,4,3,8,8,5,2,8,8,9,2,9,5,8,11285,1,1
169,5,10,7,8,4,5,13,5,4,13,8,3,2,10,2,5,14279,0,1
170,2,7,2,5,1,13,2,7,5,14,2,11,0,7,0,8,15860,1,13
171,3,7,4,5,4,8,8,7,2,7,4,6,4,6,8,8,16349,0,1
172,4,8,5,6,3,7,8,4,8,11,7,7,2,8,5,6,15512,1,1
173,3,5,4,4,3,7,7,6,6,7,6,8,3,8,3,8,8567,1,1
174,4,7,6,5,7,9,6,4,4,6,6,7,7,8,6,7,15752,1,1
175,6,9,5,4,3,10,4,4,7,11,3,10,3,7,7,11,16141,1,1
176,1,3,2,2,1,9,2,2,1,8,2,8,1,6,1,8,1578,0,4
177,3,6,4,4,1,5,11,2,2,8,12,8,1,11,0,8,15501,0,1
178,3,8,3,6,2,5,9,10,5,8,6,5,2,9,4,8,17030,0,1
179,2,6,3,4,2,8,12,2,8,5,11,9,1,11,1,8,15753,0,1
180,4,6,5,4,5,7,7,4,3,6,8,10,5,11,3,8,17628,0,1
181,5,9,5,6,2,7,8,15,0,7,5,8,3,8,0,8,14821,1,2
182,2,5,3,4,2,6,7,6,6,10,7,11,2,9,4,9,12908,0,1
183,4,9,6,7,4,6,9,6,5,7,7,8,6,9,2,6,17019,1,1
184,4,8,5,6,5,8,8,3,8,7,7,7,0,8,11,8,17216,0,1
185,5,8,6,10,8,9,9,2,3,6,9,6,9,11,7,5,16573,0,1
186,2,3,4,2,1,7,7,2,9,11,6,8,1,8,5,7,9692,1,1
187,2,1,2,1,1,4,7,5,8,7,6,13,0,8,7,9,15222,0,1
188,2,4,4,2,2,8,7,3,5,10,4,7,2,7,3,10,6396,1,1
189,3,5,5,3,3,7,8,2,8,11,7,9,2,9,4,8,12949,1,1
190,3,5,5,4,3,8,7,2,7,11,5,8,2,9,5,10,14592,1,1
191,7,9,7,11,8,7,10,4,4,7,10,11,5,11,10,9,7901,0,1
192,8,15,7,9,3,6,10,3,8,13,6,6,2,8,5,4,11385,0,1
193,7,12,6,6,3,7,8,2,7,11,6,6,2,9,6,5,16014,1,1
194,5,11,6,8,6,6,7,9,7,6,5,5,2,8,3,7,17180,0,1
195,0,0,1,1,0,12,4,5,3,12,4,11,0,7,0,8,17258,0,6
196,4,7,6,9,7,9,10,7,4,7,7,6,5,11,6,3,17501,0,1
197,4,8,5,6,4,6,8,3,6,10,7,8,2,8,5,6,15755,1,1
198,4,10,5,8,3,7,6,9,8,6,4,7,3,8,4,8,15814,1,1
199,5,8,7,6,8,8,10,5,3,7,7,8,7,9,4,9,15374,0,1
200,2,7,3,5,1,7,7,3,13,9,6,8,0,8,8,8,14034,0,19
201,9,15,8,8,6,8,6,3,7,10,5,7,6,8,8,5,11511,1,1
202,1,4,2,3,1,7,7,0,7,13,6,8,0,8,1,8,7349,1,6
203,5,8,8,6,4,10,7,3,5,10,2,4,5,9,1,7,17679,1,1
204,3,6,3,4,3,8,8,12,1,7,5,8,3,8,0,8,14557,1,2
205,6,10,8,7,5,4,8,7,8,9,11,11,3,9,1,8,10855,0,1
206,3,6,4,4,4,8,6,5,2,7,7,10,6,9,4,7,16232,1,1
207,8,10,8,8,7,5,7,5,8,8,6,9,8,8,6,1,17870,0,1
208,9,13,6,7,4,5,8,6,4,10,8,9,5,10,5,8,12863,1,1
209,3,7,5,5,5,5,7,3,6,7,6,12,2,10,8,6,18318,0,1
210,6,6,8,4,5,10,6,2,5,9,4,7,8,6,2,8,17236,1,1
211,3,7,6,5,2,9,10,2,7,3,12,8,2,11,2,9,16623,0,1
212,3,9,4,7,3,6,8,8,7,10,7,12,2,10,4,10,11375,0,1
213,5,9,5,5,3,6,7,4,5,9,7,5,3,10,5,4,16854,0,1
214,2,4,5,3,2,7,8,2,9,11,7,6,1,8,5,7,12424,0,1
215,1,4,2,2,1,8,7,2,5,14,6,9,1,7,0,7,12433,0,6
216,2,4,3,2,2,8,8,3,5,10,6,6,2,8,5,9,8857,1,1
217,2,1,3,2,1,6,8,7,7,8,7,13,1,9,4,10,14233,1,1
218,4,10,5,8,3,8,7,6,9,4,6,8,0,8,9,8,14941,1,1
219,3,3,4,4,1,1,15,5,3,12,9,4,0,8,2,6,18694,0,10
220,6,10,4,5,3,6,8,6,5,9,7,9,5,10,5,8,16901,1,1
221,6,14,5,8,3,6,10,2,6,11,7,6,2,9,5,4,15619,0,1
222,1,1,1,1,0,4,6,6,2,7,6,10,3,8,2,10,10012,0,1
223,3,7,4,5,5,6,8,3,5,6,7,11,4,11,8,8,16896,0,1
224,8,14,7,8,5,10,6,3,5,10,4,6,4,8,7,10,10637,1,1
225,5,10,5,7,4,4,11,1,2,8,10,7,3,10,1,8,16681,0,1
226,5,9,5,4,3,12,3,3,4,10,3,8,3,9,5,12,17912,0,1
227,7,11,7,8,4,3,10,2,7,10,12,6,2,11,3,5,11593,0,1
228,3,3,4,2,1,4,10,2,7,10,10,5,2,12,3,4,13897,0,1
229,4,7,5,5,3,7,7,8,6,7,6,8,3,8,3,8,11819,1,1
230,2,2,3,3,2,7,8,5,4,7,7,6,5,9,2,5,5076,1,1
231,4,9,6,6,4,10,2,1,2,8,3,9,5,5,3,7,13746,0,4
232,2,5,4,4,2,6,10,2,6,13,7,6,1,9,2,7,14630,0,1
233,4,8,6,6,4,7,8,6,6,6,5,8,4,6,7,9,16311,0,1
234,3,5,4,7,1,9,14,0,6,5,11,8,0,8,0,8,16353,0,7
235,7,8,10,6,6,9,6,2,5,9,6,8,8,6,2,8,16181,1,1
236,2,2,3,3,2,7,7,6,6,7,6,5,2,8,3,7,3659,1,1
237,5,8,8,6,4,6,12,7,2,11,5,2,1,10,4,9,16743,0,1
238,5,5,7,8,3,7,7,4,15,9,6,8,0,8,9,8,13210,0,19
239,6,9,5,5,3,7,7,3,5,9,7,6,3,10,4,5,17028,1,1
240,4,5,5,4,3,6,11,2,8,11,9,5,3,10,4,4,15869,0,1
241,9,12,8,7,7,10,7,4,6,10,3,6,7,4,8,8,14332,0,1
242,2,1,3,2,1,8,2,2,1,7,2,8,2,7,2,7,841,0,4
243,4,9,6,7,6,8,7,8,4,7,6,8,3,8,8,4,17867,1,1
244,7,7,7,5,4,3,11,3,3,10,10,8,7,10,2,6,14383,1,1
245,3,5,4,8,6,8,9,3,1,8,7,6,4,10,5,8,18424,1,1
246,4,4,7,3,4,7,5,3,4,10,8,9,7,5,2,8,14405,1,1
247,4,9,6,6,5,6,8,8,5,6,5,12,5,8,7,4,18613,0,1
248,3,1,3,3,2,7,7,5,8,7,7,8,2,8,6,9,10324,0,1
249,4,6,4,4,2,7,7,14,1,5,6,8,6,8,0,8,14077,0,2
250,4,9,7,7,3,5,12,3,4,8,12,9,2,10,1,8,12771,0,1
251,4,9,5,7,4,5,10,4,5,10,9,4,4,10,4,7,16863,1,1
252,7,13,6,7,4,9,8,4,5,13,4,4,4,10,6,6,13198,1,1
253,7,13,6,7,3,7,11,5,5,8,11,5,4,11,4,8,13190,0,1
254,4,6,5,4,3,7,6,6,6,10,6,11,2,10,4,10,14863,0,1
255,2,7,3,5,1,12,2,9,4,13,5,13,1,6,0,8,13436,1,13
256,2,6,4,4,2,10,3,1,2,8,3,9,2,6,2,8,5710,0,4
257,6,11,7,8,7,8,6,11,1,7,8,8,9,4,1,8,13928,0,9
258,3,4,4,2,1,5,13,3,6,12,9,3,1,10,1,5,14205,0,1
259,4,5,4,6,4,8,6,7,4,9,8,9,3,9,6,8,17410,0,1
260,5,9,7,6,4,8,9,2,6,14,5,5,2,9,3,8,13857,1,1
261,2,11,3,8,4,8,7,0,7,7,6,8,0,8,3,7,16125,0,20
262,6,10,8,8,5,6,9,5,7,6,9,10,6,10,1,7,14883,0,1
263,2,5,3,8,1,12,3,10,3,13,6,13,1,6,0,8,14630,0,13
264,3,5,6,3,2,7,8,3,7,11,8,7,1,9,4,6,15172,0,1
265,5,11,6,8,6,6,6,6,5,6,5,8,5,7,4,10,16871,0,1
266,3,6,2,9,2,9,8,3,3,12,4,5,2,8,5,10,19396,0,1
267,5,10,6,8,8,8,8,5,3,8,5,7,5,9,12,8,13993,0,1
268,2,6,4,4,2,8,12,2,2,5,10,9,2,11,0,9,16705,0,1
269,4,10,5,8,4,6,7,6,8,5,7,12,1,7,4,9,16549,0,1
270,4,8,5,6,4,8,7,8,6,7,7,10,3,7,4,7,15153,1,1
271,5,7,6,8,6,9,8,6,2,4,8,10,3,9,7,10,15899,1,1
272,8,13,9,7,6,5,9,2,9,12,8,8,6,5,8,2,16128,0,1
273,2,6,2,4,2,3,6,6,10,7,7,14,0,8,7,8,15800,0,11
274,3,2,4,4,2,6,8,8,8,9,8,12,2,10,4,9,15313,0,1
275,6,9,9,8,8,8,8,3,5,7,7,8,5,8,4,5,16898,0,1
276,4,8,5,6,3,6,9,6,6,5,9,10,3,9,1,8,17610,0,1
277,7,11,10,8,6,12,7,3,5,10,0,3,7,11,2,9,15826,0,1
278,6,9,9,7,6,10,5,3,5,9,3,6,8,6,2,9,17581,0,1
279,4,6,5,4,6,8,10,5,4,8,5,6,4,9,8,7,17576,0,1
280,4,3,4,4,3,7,8,5,5,7,6,6,6,9,3,6,9296,1,1
281,2,1,2,1,2,7,7,5,6,7,6,8,2,8,5,10,7739,1,1
282,3,7,4,5,3,5,11,5,4,11,8,4,1,10,4,7,16636,0,1
283,1,0,2,1,0,7,9,1,2,6,12,8,1,10,0,8,9057,0,16
284,3,10,4,7,2,7,6,8,8,6,6,11,2,8,5,11,15546,0,1
285,6,10,8,8,5,8,6,2,9,12,4,11,3,7,8,9,11134,0,1
286,2,6,3,4,2,8,6,0,7,13,6,9,0,7,2,8,12541,0,6
287,2,1,3,2,2,7,8,4,5,6,5,7,2,6,5,8,3761,0,1
288,3,7,4,5,3,6,8,5,10,7,7,10,2,9,8,8,16211,0,1
289,3,1,4,3,2,7,12,4,6,7,11,8,2,11,1,8,15826,0,1
290,4,9,6,7,4,8,5,2,9,11,4,10,2,7,7,9,15870,0,1
291,4,9,6,6,2,7,6,7,9,7,5,11,1,8,5,10,15451,1,1
292,3,6,4,4,4,7,8,4,6,8,8,6,5,9,3,7,14804,0,1
293,2,3,4,2,2,6,7,2,6,10,8,11,3,8,2,8,13587,0,1
294,2,4,3,3,2,6,6,5,4,8,7,10,2,8,4,10,8591,0,1
295,4,7,5,5,2,7,6,7,9,6,5,10,1,8,6,11,16075,1,1
296,7,8,7,6,5,4,11,3,3,9,9,7,7,11,2,6,13369,1,1
297,1,3,2,2,1,7,7,5,8,6,6,8,2,8,6,8,7035,1,1
298,7,10,10,8,7,5,6,1,7,9,8,11,3,8,3,8,13308,0,1
299,3,2,5,4,2,8,2,2,2,7,2,8,2,7,2,7,1780,1,4
300,4,8,5,6,6,9,9,5,4,8,4,6,4,9,9,7,17203,1,1
301,7,10,7,8,7,4,11,2,2,9,8,7,7,12,2,6,12052,1,1
302,2,3,3,5,1,0,1,5,6,0,0,7,0,8,0,8,668,0,3
303,3,6,5,4,4,7,8,4,5,9,6,5,2,8,6,6,12847,0,1
304,6,11,8,8,8,6,8,8,4,7,5,7,3,7,7,10,13978,0,1
305,4,7,6,5,4,7,8,3,6,10,7,8,3,8,3,8,13933,1,1
306,2,8,3,6,2,8,7,0,7,13,6,8,0,8,1,8,11635,1,6
307,8,10,8,5,5,8,6,3,5,10,6,7,7,11,5,8,15932,0,1
308,5,11,6,8,3,5,8,8,8,8,8,14,2,9,4,9,8519,0,1
309,3,3,4,4,1,5,8,6,9,6,7,11,1,7,4,9,16709,0,1
310,5,8,6,7,6,6,9,5,7,8,8,8,4,13,9,6,15714,0,1
311,3,1,4,3,3,8,6,6,4,7,7,8,7,5,1,7,7209,1,1
312,2,1,3,2,2,7,7,5,5,6,5,6,5,7,3,8,4534,0,1
313,7,9,7,4,3,7,8,3,7,9,6,8,6,8,3,7,17859,0,1
314,3,1,5,3,3,7,11,2,2,7,9,8,7,11,0,8,15335,1,1
315,4,5,4,4,2,6,11,2,7,11,9,4,1,11,2,4,12506,1,1
316,6,8,6,6,4,4,13,5,5,11,9,4,2,12,1,5,14952,1,1
317,3,8,4,6,2,7,7,0,6,13,6,8,0,8,1,8,12779,1,6
318,3,6,3,4,1,1,0,6,6,0,1,5,0,8,0,8,740,1,3
319,4,9,5,7,5,8,6,7,7,6,6,6,2,8,7,10,16029,0,1
320,6,11,7,8,5,7,7,1,7,7,6,8,0,8,4,8,18124,0,1
321,5,9,5,4,2,7,7,3,6,9,8,9,6,11,3,7,18442,0,1
322,4,3,5,2,2,5,8,5,7,10,10,9,3,9,2,6,13323,0,1
323,4,6,4,4,2,2,12,3,3,11,11,8,2,11,1,8,14679,0,1
324,1,0,2,1,1,8,7,6,3,6,6,9,2,8,3,8,3455,1,1
325,4,4,5,6,3,7,5,7,8,6,5,8,2,8,6,11,16720,0,1
326,4,4,6,6,2,8,7,8,8,7,6,9,3,8,4,8,15781,1,1
327,2,3,3,2,1,7,8,2,9,11,6,8,1,8,5,7,10626,0,1
328,3,4,5,6,2,7,5,7,8,6,5,11,1,8,6,11,17439,0,1
329,3,6,5,4,2,7,10,2,7,6,12,9,2,11,2,8,15072,1,1
330,5,10,7,7,8,8,5,8,4,8,6,8,3,9,8,3,17694,0,1
331,2,3,4,1,2,8,6,3,4,9,6,7,6,5,1,7,7514,0,1
332,9,11,7,6,4,8,7,5,5,10,3,8,6,6,6,11,13695,1,1
333,4,8,5,6,5,8,8,6,7,7,6,6,2,8,7,10,15430,1,1
334,4,8,6,6,4,7,10,2,3,7,9,8,8,11,1,8,15665,1,1
335,4,11,4,8,5,3,9,5,10,7,6,14,0,8,6,8,11826,0,11
336,4,6,4,4,2,3,12,5,4,11,12,7,3,10,1,8,14184,0,1
337,0,0,1,0,0,3,11,4,2,11,8,6,0,8,2,8,11817,0,22
